"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
-3100,1e+09,121.057846483422,1e+09,1e+09,1e+09,81.8355714448957,1e+09,54.9818968612446,1e+09,38.3269268674784,34.0878417496954,36.6652569928838,34.291087244552,26.033947318926,21.8396284159555,12.8790655894429,10.6317762437978
-3000,1e+09,120.001709645572,1e+09,125.928216452525,1e+09,1e+09,1e+09,53.140906625312,1e+09,30.7178665385445,32.2983063185907,32.6161421736646,36.5114870322933,27.1867070883195,19.5716352350262,10.1618422798202,9.18859654002777
-2900,1e+09,114.828417665741,1e+09,1e+09,99.9382714632083,1e+09,1e+09,50.44719961841,1e+09,29.5415618306653,29.7097165009864,31.3953054148374,30.2366544872974,24.4299598069768,18.0821059020818,14.1414531063849,10.8354937344053
-2800,1e+09,111.822441312802,1e+09,1e+09,95.9821714114278,1e+09,1e+09,49.1216040926292,1e+09,28.7676261527207,1e+09,1e+09,28.7083288422816,23.9927819328943,16.6705088362582,11.31163461442,10.0688193038962
-2700,1e+09,115.322259181176,1e+09,1e+09,94.3478889031198,1e+09,1e+09,48.4206429749191,1e+09,29.9148070294023,1e+09,29.3822614216772,26.4089972763866,23.756786676684,19.196758580804,13.578605330051,8.63187150350856
-2600,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,27.5364593421749,1e+09,1e+09,29.388208411546,22.8320116456772,17.0190526627437,9.71746618954095,7.51678929382411
-2500,1e+09,1e+09,1e+09,1e+09,78.3856185261774,1e+09,1e+09,42.1011486584614,1e+09,28.8952491249429,1e+09,26.6252300903271,24.2609733010635,19.2058394581812,16.5916192697462,10.1946148321869,9.57361251398884
-2400,107.750191325467,1e+09,105.825040357458,97.8172355703468,1e+09,53.590868152829,1e+09,40.8249051303572,1e+09,26.7600952031124,1e+09,24.7881334759043,27.8959348422375,21.5964055107695,17.7083275830048,9.6983465003628,6.05114895074354
-2300,1e+09,99.2624302807368,105.049662753451,95.7251647465596,1e+09,1e+09,1e+09,38.3515267914069,1e+09,25.4704002104737,1e+09,23.7464026231273,23.1506550919094,20.125171323724,15.9886019984568,8.55897324900913,7.70294523360503
-2200,94.8837862069065,1e+09,1e+09,1e+09,63.518890656385,1e+09,1e+09,1e+09,1e+09,24.3141366512211,1e+09,24.932131389304,21.1798423415031,19.183546104078,16.9750110840497,10.7167995209961,7.37987793721741
